,column,correlation,p_value,cohens_d,group0_mean,group1_mean,group0_size,group1_size,message
45,az_005,0.4331169065238961,0.0,3.7420093077500014,1770157.8046422326,23559466.659296483,58334,995,Success
50,ba_000,0.4315136410425953,0.0,3.722618002645487,1186649.7194937924,13870975.712851405,58316,996,Success
137,ee_003,0.4300451052318064,0.0,3.709421511389967,180611.2799053725,2000143.3065326633,58334,995,Success
67,bi_000,0.4295982550013544,0.0,3.773054202487313,410440.41409043473,5470720.279166667,58451,960,Success
52,ba_002,0.42484892428698157,0.0,3.652337133833491,346687.79580218124,4301365.190763053,58316,996,Success
124,dt_000,0.41916563879534385,0.0,4.4508335080749015,13917.570273609885,150507.18459069022,56650,623,Success
123,ds_000,0.41731873376440953,0.0,4.427075804538431,80543.44610767873,918177.1942215088,56650,623,Success
138,ee_004,0.4171917799988288,0.0,3.5747517325918676,382077.87341858953,4177728.6452261307,58334,995,Success
140,ee_006,0.4162991390181266,0.0,3.5654975240740145,274928.94034353894,3741012.601005025,58334,995,Success
134,ee_000,0.4162775501122202,0.0,3.5652738617398247,602046.1611067302,8434550.532663317,58334,995,Success
38,ay_008,0.41079800720532794,0.0,3.5087392487214575,837000.394041211,13604515.927638192,58334,995,Success
89,cn_003,0.40677405762232255,0.0,3.465343712580711,413660.28982972377,7429844.303212851,58317,996,Success
133,ed_000,0.3953128667490844,0.0,3.505814509985906,1278.4395369904378,12630.038860103627,49675,772,Success
56,ba_006,0.39477457053984616,0.0,3.343876962505152,177760.59321626998,2135070.25502008,58316,996,Success
101,cs_003,0.39238222442490533,0.0,3.3204346134439544,298413.03310191137,3691483.953815261,58335,996,Success
87,cn_001,0.39141965628748643,0.0,3.3103195258393012,9378.120410857897,758137.6606425702,58317,996,Success
19,am_0,0.3800326064194971,0.0,3.260778512771642,51939.193364490784,2614072.9123173277,58413,958,Success
18,al_000,0.37396630541449855,0.0,3.201484550742159,33305.58014417561,1635096.7439916406,58401,957,Success
85,cm_000,0.3731621594411307,0.0,3.403593518816893,267.35818509299173,5614.611267605634,49413,710,Success
100,cs_002,0.37307821260157314,0.0,3.1298652898306467,179554.98057769777,3709372.0542168673,58335,996,Success
132,ec_00,0.3728469191412941,0.0,3.44604450275261,1197.230552419766,12505.954518950439,49075,686,Success
8,ag_004,0.372287963337395,0.0,3.1221159102121794,321597.1260521489,7201587.297188755,58333,996,Success
91,cn_005,0.37184695157422654,0.0,3.1174103322920272,1188243.6268669514,10288566.08433735,58317,996,Success
10,ag_006,0.3690809162996045,0.0,3.0909578475567656,1469279.9467882675,12699970.116465863,58333,996,Success
88,cn_002,0.36845446946717003,0.0,3.0844776806276255,109341.03664454618,3188724.232931727,58317,996,Success
135,ee_001,0.36453192738780793,0.0,3.048485560325508,661516.0092913224,7957407.738693467,58334,995,Success
44,az_004,0.3596356020530294,0.0,3.001408539019701,1280375.0169712347,12998397.823115578,58334,995,Success
119,do_000,0.35525245635486236,0.0,3.6638843610758722,26225.898857959863,236018.58747993578,56653,623,Success
98,cs_000,0.35392081964949684,0.0,2.945416277770518,5002.884169023742,33415.815261044176,58335,996,Success
108,dd_000,0.3501631965540549,0.0,3.5119695686413404,2765.143038108308,34071.6813353566,56838,659,Success
6,ag_002,0.34061089873985295,0.0,2.8197406664042024,1915.646306550323,400442.6104417671,58333,996,Success
57,ba_007,0.33685591917417834,0.0,2.7842590899320965,162668.85551135195,1539381.967871486,58316,996,Success
120,dp_000,0.3339591388379172,0.0,3.4156530572204087,6469.91745953293,51400.61316211878,56651,623,Success
82,cj_000,0.3084644041578332,0.0,2.538483317903131,57357.087059585494,2798480.3536969693,58672,990,Success
99,cs_001,0.3077144612585844,0.0,2.5172647346210875,672.3727779206308,7585.552208835341,58335,996,Success
37,ay_007,0.3034898582409204,0.0,2.4803554443003275,1343643.2819624918,13411524.379899498,58334,995,Success
41,az_001,0.26439986004177407,0.0,2.1349385971392194,3247.100044570919,73242.93668341708,58334,995,Success
126,dv_000,0.24923454604491385,0.0,2.4810540456370265,539393.0518084412,5544379.768860353,56651,623,Success
109,de_000,0.24724026616065214,0.0,2.459945973711317,331.3552327326002,4357.39646869984,56653,623,Success
80,ce_000,0.2435645994510053,0.0,2.3592465703293772,60597.27162687591,387462.07587253413,56839,659,Success
58,ba_008,0.24319525787364304,0.0,1.9512154269636455,28138.54890596063,489312.5803212851,58316,996,Success
113,di_000,0.2427794023140841,0.0,2.725944184781314,27684.430779206745,1152718.0924369749,55518,476,Success
11,ag_007,0.24224639661460634,0.0,1.9434005909121603,454273.86717638385,3136941.6445783135,58333,996,Success
61,bc_000,0.2362350833272423,0.0,2.343796378951014,469.29693567746943,9683.826645264848,56652,623,Success
142,ee_008,0.23587981537776292,0.0,1.890205892074265,124882.29797373744,950580.1025125628,58334,995,Success
131,eb_000,0.23454969725301927,0.0,2.6280377399039083,8788715.865410594,117995930.08403361,55517,476,Success
36,ay_006,0.23266992607383338,0.0,1.8630007544030796,978914.1379984228,6919986.701507538,58334,995,Success
86,cn_000,0.23227141693510844,0.0,1.8584635126764142,479.46475298797947,111078.52409638555,58317,996,Success
62,bd_000,0.2309771095530037,0.0,2.288614731482119,804.7091615180935,11566.728731942216,56650,623,Success
104,cs_006,0.22998777748512075,0.0,1.8394400030248705,510668.03846747236,2601915.2911646585,58335,996,Success
59,ba_009,0.2245535499980848,0.0,1.7933573699140724,25926.125488716647,611935.5662650602,58316,996,Success
64,bf_000,0.21376677902950814,0.0,2.0558130777648285,62.292816804771206,1160.4157814871016,56841,659,Success
35,ay_005,0.21260489270284577,0.0,1.6943554728272892,73256.44221208901,2382178.4442211054,58334,995,Success
125,du_000,0.20852532575893484,0.0,2.0554860692167014,3805755.6371467407,27060652.58426966,56651,623,Success
47,az_007,0.20385821261046375,0.0,1.6215585014610645,9911.228580244797,455122.5206030151,58334,995,Success
40,az_000,0.20235404560531745,0.0,1.6090810219937919,5903.559570747763,121940.83417085427,58334,995,Success
75,bz_000,0.20104812774492256,0.0,1.9786678000971394,88701.69414339676,1307712.88282504,56654,623,Success
122,dr_000,0.19860806504584655,0.0,1.9536102153223192,175308.38576547633,2790924.828250401,56651,623,Success
92,cn_006,0.19537717719231992,0.0,1.5503883253095347,377519.04144589056,2345391.3032128513,58317,996,Success
111,dg_000,0.19279843723742757,0.0,2.140102851558245,1886.5947834858418,439866.63445378153,55516,476,Success
5,ag_001,0.1914529489330065,0.0,1.5182519439008435,120.13611506351465,51085.06626506024,58333,996,Success
33,ay_003,0.19103827667736792,0.0,1.515586872464047,2074.447834881887,309233.86130653264,58334,995,Success
93,cn_007,0.1877728365121007,0.0,1.4877934063287412,54451.0560556956,648419.265060241,58317,996,Success
69,bs_000,0.1876843140617407,0.0,1.51762766955931,78330.79613847974,204311.51832460734,58319,955,Success
127,dx_000,0.18766371282943517,0.0,1.841954939625184,709519.8765135736,8219757.768860353,56654,623,Success
24,ar_000,0.18526571447361895,0.0,1.817575944607776,0.38984008190066016,10.234349919743178,56654,623,Success
94,cn_008,0.18516180063042056,0.0,1.4663653673147552,14719.428777200474,283138.0522088353,58317,996,Success
84,cl_000,0.1844167003902476,0.0,1.5284913009057057,234.81171615500756,7305.69689119171,49675,772,Success
34,ay_004,0.17998812135310405,0.0,1.4248929691460515,2229.9333493331505,499285.7346733668,58334,995,Success
32,ay_002,0.16556112873662565,0.0,1.3073169031648095,1713.2933109335893,553962.2150753769,58334,995,Success
141,ee_007,0.16057985558012755,0.0,1.266925695074849,310030.78815099254,2470956.4462311557,58334,995,Success
30,ay_000,0.15708121126687152,0.0,1.238616161954505,2887.661809579319,558850.2512562814,58334,995,Success
28,av_000,0.15696683692117105,7.0302400766e-314,1.4931789240246127,1006.3018595731954,10737.156297420333,56841,659,Success
63,be_000,0.1519681071534381,4.254538622765957e-294,1.4444471761783941,1221.2862169675218,14427.262518968133,56838,659,Success
42,az_002,0.14621092927400006,9.164198757107695e-281,1.1509582181375362,6030.526176843693,127404.86030150754,58334,995,Success
29,ax_000,0.14217515013729043,2.558405516146332e-257,1.3494009980722206,351.62913441238567,2332.0940819423367,56840,659,Success
26,at_000,0.13913498969504023,2.276751397652886e-254,1.1150921915092975,2940.720935408214,135027.27348643006,58413,958,Success
128,dy_000,0.13751353735767435,8.930493293162946e-240,1.3384453450122498,6926.0264063685945,85468.91171749598,56653,623,Success
110,df_000,0.1282185347249296,7.578578186738542e-204,1.4081730966747026,1088.1535052957706,192882.43697478992,55516,476,Success
15,ai_000,0.12103990032124869,1.4486236466992906e-192,0.9677495551823537,6486.035266122267,163337.65762004175,58413,958,Success
43,az_003,0.11972336647782714,2.7795045540419722e-188,0.9390771033598632,77026.49943429219,686077.1015075376,58334,995,Success
143,ee_009,0.11609908952320394,4.199720952972774e-177,0.9102547112296357,7669.135907018205,50587.47939698493,58334,995,Success
12,ag_008,0.11310402903356286,3.9439669345629752e-168,0.8860265588529928,32316.245418545248,226127.03212851405,58333,996,Success
31,ay_001,0.11190739521272174,1.299441206553891e-164,0.8769657655064772,2367.0123427160834,468836.44221105526,58334,995,Success
121,dq_000,0.11043471216825244,7.480205657865758e-155,1.0712042665883863,3400414.1927591744,107188697.27126805,56651,623,Success
95,cn_009,0.10638405091529334,7.858172873161291e-149,0.8326518027247796,4115.44808546393,224753.76506024096,58317,996,Success
27,au_000,0.09313679837210039,1.6895849118421334e-114,0.7424080911350328,42.13322376868163,11720.939457202505,58413,958,Success
46,az_006,0.0887983166897393,3.815201736866596e-104,0.6942422576628362,91459.47982308773,713655.4050251256,58334,995,Success
13,ag_009,0.07220237807186371,2.088609578134538e-69,0.5634551775606729,3514.107760615775,98860.1827309237,58333,996,Success
96,cp_000,0.06677387567361413,1.3173094219073666e-57,0.6451884330319049,515.9742290787779,5520.044943820225,56653,623,Success
77,cb_000,0.06488147392772536,2.5499296912985344e-56,0.5164008277328545,402571.28002880706,592922.6178010472,58319,955,Success
105,cs_007,0.05722362300945321,3.1619015630827937e-44,0.44613639494684254,14172.86157538356,49828.403614457835,58335,996,Success
76,ca_000,0.05273844290190361,1.4188405771355054e-35,0.5770673172587983,38989.94511907783,60166.868085106384,55174,470,Success
48,az_008,0.04635181222300259,1.3733690255416567e-29,0.3613441667450902,571.4376521411184,5958.659296482412,58334,995,Success
112,dh_000,0.044152476939661636,1.4271207446367153e-25,0.4813760350026823,2416.4662439657036,271861.15546218486,55516,476,Success
25,as_000,0.04410515064467023,5.815455080539767e-27,0.35038190419191495,64.54909009980655,3918.546972860125,58413,958,Success
39,ay_009,0.042447918598522885,4.46871290112545e-25,0.3308531724067015,619.551719408921,33001.25427135678,58334,995,Success
129,dz_000,0.04025036978734865,5.597965863236507e-22,0.3883607457943555,0.17008507784092916,4.369181380417335,56654,623,Success
1,ac_000,-0.036533234415141204,3.341337734044048e-18,-0.3769713237356725,358857337.974629,59409676.90706319,56127,538,Success
16,aj_000,0.02447839201767773,2.4431428367337592e-09,0.19433121950905913,985.808124903703,10769.421711899791,58413,958,Success
3,af_000,0.022531811757200895,6.535036117442879e-08,0.21173522438996212,10.497844865502014,54.907435508345976,56841,659,Success
115,dk_000,0.01962657438611028,3.4082089372664774e-06,0.21381475681346745,1740.2834447106293,15977.273109243697,55517,476,Success
144,ef_000,0.01839996724449598,1.063556518724337e-05,0.17741902885211913,0.08214922422466595,0.8571428571428571,56653,623,Success
17,ak_000,0.018274783847176696,1.637029151312763e-05,0.2000630849311442,851.8108902270914,16020.521367521367,55132,468,Success
145,eg_000,0.017525963685838142,2.7329109342472954e-05,0.1689903807514703,0.19652628234546546,1.6886035313001606,56654,623,Success
4,ag_000,0.012367940966279897,0.002590384047194762,0.0962727782765509,188.54127166440952,2159.925702811245,58333,996,Success
130,ea_000,0.010947073831669584,0.008794466799477083,0.10554494531458611,1.5063014085501465,7.15569823434992,56654,623,Success
2,ae_000,0.008872566170803356,0.03337339513341815,0.08335911042962382,6.664801815590859,20.13050075872534,56841,659,Success
117,dm_000,0.006636953123436478,0.1163114371715661,0.07229031790278159,7752.665729982888,27815.537815126052,55515,476,Success
49,az_009,0.0025315020340322594,0.5374987632263839,0.019713646349134476,40.996777179689374,105.19597989949749,58334,995,Success
116,dl_000,-0.002336947315326513,0.5802828728389459,-0.025453984286849307,28778.866452914473,889.7268907563025,55516,476,Success
114,dj_000,-0.0008016458004647719,0.8495536565440769,-0.008731566590774942,40.27505088531441,0.6932773109243697,55517,476,Success
107,cs_009,-0.0005446381309500969,0.8944623348381452,-0.004239241773490614,792.3177166366676,10.771084337349398,58335,996,Success
106,cs_008,-9.143431666938839e-05,0.982231733084765,-0.0007116874432032392,211.86865518128053,204.6425702811245,58335,996,Success
79,cd_000,,,,1209600.0,1209600.0,58367,957,Success
