,column,correlation,p_value,cohens_d,group0_mean,group1_mean,group0_size,group1_size,message
55,ba_005,0.4734214585828563,0.0,4.018038976414389,157499.0708338983,1995614.1183345509,73750,1369,Success
136,ee_002,0.4663714485654351,0.0,3.946120235192117,374867.55239863903,4484229.802342606,73771,1366,Success
103,cs_005,0.46576631287341663,0.0,3.935469904020921,1897156.2331747387,21692722.676406138,73773,1369,Success
9,ag_005,0.4654517733714713,0.0,3.932025528944298,910381.518374429,12556903.517896274,73771,1369,Success
137,ee_003,0.4555952643695296,0.0,3.8306971885037275,179031.63815049274,2060997.6778916544,73771,1366,Success
50,ba_000,0.45556096230379606,0.0,3.8257620347405092,1177143.0373152543,14205495.029948868,73750,1369,Success
51,ba_001,0.4542865710058457,0.0,3.812271843485267,755091.3169898305,8932041.883126369,73750,1369,Success
45,az_005,0.44914789507943326,0.0,3.7626636063041703,1755171.7727020103,24180954.71156662,73771,1366,Success
102,cs_004,0.44889637147144695,0.0,3.756101515908303,320684.8990280997,7581081.4623813005,73773,1369,Success
52,ba_002,0.4472707172711355,0.0,3.7385278620776976,344032.2896271186,4402648.869247626,73750,1369,Success
138,ee_004,0.44392887773028633,0.0,3.7081322158332926,378767.99791245884,4332524.780380674,73771,1366,Success
124,dt_000,0.44262334660154207,0.0,4.588567571306463,13869.47998883617,155491.06242638399,71660,849,Success
67,bi_000,0.43984499796399756,0.0,3.7237624671538727,408418.40122287755,5436930.709433963,73924,1325,Success
123,ds_000,0.439809709258957,0.0,4.552376303407074,80295.42174155735,947253.0341578327,71660,849,Success
7,ag_003,0.4363781744319708,0.0,3.6262318887942757,44641.209716555284,2734521.8071585097,73771,1369,Success
134,ee_000,0.42893007066213784,0.0,3.5539903641363204,597258.2386032452,8696501.689604685,73771,1366,Success
140,ee_006,0.42545667371831775,0.0,3.518818149307405,274306.3678952434,3770572.9619326503,73771,1366,Success
89,cn_003,0.4195761799980396,0.0,3.4555735358520647,410110.20734915254,7640485.070854639,73750,1369,Success
38,ay_008,0.4173570047504385,0.0,3.4375316132549827,835919.5324992206,14204661.147877013,73771,1366,Success
56,ba_006,0.40956312846028686,0.0,3.3562409426864117,176004.25434576272,2129010.504017531,73750,1369,Success
133,ed_000,0.407127536480296,0.0,3.4987034184216723,1275.2088921375453,12754.517045454546,62932,1056,Success
101,cs_003,0.40471287118815463,0.0,3.309150456538965,296790.81864638824,3779838.0628195764,73773,1369,Success
19,am_0,0.3918465752934044,0.0,3.2397686497493146,50768.707017662586,2692769.0551776267,73885,1323,Success
100,cs_002,0.3911536298400582,0.0,3.177843324996084,176293.34599379177,3840834.8707085466,73773,1369,Success
91,cn_005,0.38964477128065816,0.0,3.1629104724001373,1180229.6720271187,10417835.932797663,73750,1369,Success
10,ag_006,0.3863733026938046,0.0,3.1321009067983936,1458767.9410608504,12847982.276113952,73771,1369,Success
8,ag_004,0.38495209721858875,0.0,3.1185714192304634,318882.11508587387,7424552.112490869,73771,1369,Success
18,al_000,0.3842531315864988,0.0,3.1667671189207303,32594.38331054463,1682628.8940998488,73867,1322,Success
132,ec_00,0.3825372552653086,0.0,3.421732998155002,1191.7021399507876,12399.360213219616,62179,938,Success
135,ee_001,0.3816464304723514,0.0,3.0904676005212974,655104.8992422497,7982116.131771596,73771,1366,Success
88,cn_002,0.378799340074636,0.0,3.0598772597661776,107770.7810440678,3307355.514974434,73750,1369,Success
44,az_004,0.3769256814921042,0.0,3.045863516714537,1270583.4019872309,13255750.448023425,73771,1366,Success
119,do_000,0.37629999771128436,0.0,3.7756553595231757,26182.573071180384,250532.26855123675,71663,849,Success
85,cm_000,0.37279136962393966,0.0,3.2767689514767406,263.7620775069916,5676.719587628866,62575,970,Success
108,dd_000,0.3676292968541314,0.0,3.5563259033501398,2769.431500180812,35376.37760702525,71898,911,Success
87,cn_001,0.35759331104851794,0.0,2.86260084137017,9167.742372881356,825290.2205989774,73750,1369,Success
120,dp_000,0.35513367757411135,0.0,3.531527393763431,6470.685030909421,54211.425206124855,71661,849,Success
57,ba_007,0.35478614178410384,0.0,2.8368783401259083,161167.26958644067,1567561.88458729,73750,1369,Success
98,cs_000,0.35340243163199314,0.0,2.824655888456695,4995.354506391227,33943.73849525201,73773,1369,Success
6,ag_002,0.33695656495312093,0.0,2.6758707662897634,1806.8239009909043,434891.19211102993,73771,1369,Success
37,ay_007,0.33007216055139343,0.0,2.617201540809818,1328278.5237559474,13899609.959004393,73771,1366,Success
99,cs_001,0.32909586586958967,0.0,2.605796900861837,668.0317731419354,7475.281227173119,73773,1369,Success
0,aa_000,0.323466454628091,0.0,2.564734821972823,49535.92061641541,692017.1912727273,74625,1375,Success
70,bt_000,0.32343852586959565,0.0,2.572298764965471,49642.75420501867,694627.6470286134,74442,1363,Success
82,cj_000,0.3099147828311548,0.0,2.449399600166782,55951.29338525594,2823207.634512106,74213,1363,Success
41,az_001,0.2850423742642316,0.0,2.225822032449109,3195.7842241531225,74193.1654465593,73771,1366,Success
126,dv_000,0.2704568242346204,0.0,2.6114945727150074,541521.9365624259,5912254.520612486,71661,849,Success
58,ba_008,0.2642266646265283,0.0,2.0481107032811106,27464.789423728813,510674.4324324324,73750,1369,Success
11,ag_007,0.2587945879606113,0.0,2.003223088148723,450856.9647422429,3191817.0986121255,73771,1369,Success
131,eb_000,0.25161887602323074,0.0,2.7215251194067407,8792595.403724056,131729303.41500765,70246,653,Success
109,de_000,0.25130322279929085,0.0,2.413605860468605,330.5215801738694,4122.228504122497,71663,849,Success
113,di_000,0.24566989711462608,0.0,2.6530129365426456,26717.128930772844,1130950.177641654,70247,653,Success
36,ay_006,0.24476099879017257,0.0,1.8894565609134268,972398.2056092502,6996341.931185944,73771,1366,Success
104,cs_006,0.24474159979810275,0.0,1.8873260505748253,508673.83386875957,2622735.1205259315,73773,1369,Success
80,ce_000,0.24064142970326644,0.0,2.2304282777044335,60414.893698104286,369302.2744237102,71899,911,Success
142,ee_008,0.23975575356889486,0.0,1.8484354399718472,124588.13693727888,966642.383601757,73771,1366,Success
64,bf_000,0.23749916633984589,0.0,2.1995653415873635,61.65376912378303,1237.271130625686,71900,911,Success
61,bc_000,0.23734001224571455,0.0,2.271227031949168,466.9641930172197,9051.757361601885,71662,849,Success
59,ba_009,0.23578991442218786,0.0,1.8138768542963268,25695.097030508474,652680.5595325055,73750,1369,Success
62,bd_000,0.23237018099015072,0.0,2.220892646667352,803.6741278258443,11213.952885747938,71660,849,Success
125,du_000,0.2310627552482033,0.0,2.2077050001713965,3824151.35736314,29163213.191990577,71661,849,Success
47,az_007,0.22340897248379668,0.0,1.715530651867559,9473.123856257878,472116.0131771596,73771,1366,Success
75,bz_000,0.2197225608316462,0.0,2.0937656660822563,88105.46601548874,1397977.0223792698,71665,849,Success
40,az_000,0.21537430051920115,0.0,1.6507734565503258,5799.298369277901,121318.35285505124,73771,1366,Success
86,cn_000,0.21423462777256705,0.0,1.6396577241029064,478.655186440678,121204.5288531775,73750,1369,Success
92,cn_006,0.2100011579826556,0.0,1.6057460012785585,374370.65621694917,2349279.5865595327,73750,1369,Success
35,ay_005,0.20829079182713914,0.0,1.5939745239071563,70148.49368993235,2078542.007320644,73771,1366,Success
93,cn_007,0.20357111547831863,0.0,1.554418859615722,53701.458250847456,658625.0138787436,73750,1369,Success
24,ar_000,0.20355246927002366,0.0,1.9327282386071452,0.3747209198481804,10.46643109540636,71664,849,Success
69,bs_000,0.20115717349093787,0.0,1.564186433934733,78355.10595891804,208352.02733485194,73755,1317,Success
111,dg_000,0.20057187548147054,0.0,2.143136340759743,2150.6266353477117,532451.0934150077,70245,653,Success
122,dr_000,0.1997112147019835,0.0,1.8946865262756576,173347.43760204295,2715950.129564193,71661,849,Success
94,cn_008,0.1937548934663492,0.0,1.4764638957171974,14544.612664406779,294755.53396639886,73750,1369,Success
127,dx_000,0.19273293486268617,0.0,1.8259178229018556,702911.3614646127,8095941.107184923,71664,849,Success
33,ay_003,0.185957075531853,0.0,1.4165583073702412,2043.020400970571,292411.78623718885,73771,1366,Success
84,cl_000,0.18521818736327406,0.0,1.4794075671321447,245.580245344181,7186.386363636364,62932,1056,Success
141,ee_007,0.1771960049886537,0.0,1.3476006955073894,306387.604722723,2571141.64568082,73771,1366,Success
34,ay_004,0.17397952630604308,0.0,1.3223680953235888,2167.5730300524597,441860.71010248904,73771,1366,Success
42,az_002,0.16895977962002987,0.0,1.2830760970619233,5804.200431063697,129125.9121522694,73771,1366,Success
28,av_000,0.1652653522181998,0.0,1.5075284559693771,1021.0438519631159,10995.167947310647,71901,911,Success
32,ay_002,0.1599985548309424,0.0,1.2131854837387603,1821.2853831451384,526066.0717423133,73771,1366,Success
5,ag_001,0.15729623003636964,0.0,1.1909113320684177,112.14642610239797,60082.246895544195,73771,1369,Success
63,be_000,0.14934135953010902,0.0,1.3587311830406537,1231.8608267497495,13295.152579582877,71896,911,Success
29,ax_000,0.14800872477328808,0.0,1.346370372097707,352.2546036161335,2331.53896816685,71900,911,Success
128,dy_000,0.14070040859904384,3.1050316e-317,1.3211125383326474,6916.383210303783,85835.21319199058,71663,849,Success
30,ay_000,0.1333052849175703,6.354346452700877e-295,1.006747876383212,3795.8428379715606,617673.336749634,73771,1366,Success
26,at_000,0.1320201157755939,1.5812173105648799e-289,1.0131142198751968,3056.844880557623,124701.56916099774,73885,1323,Success
15,ai_000,0.13038637129538871,2.1286945861369874e-282,1.0003587562434129,6482.131988901671,183564.66666666666,73885,1323,Success
12,ag_008,0.12441115410083117,7.121031770643369e-257,0.937491821115199,31831.61854929444,241075.01533966398,73771,1369,Success
143,ee_009,0.11908666877942205,2.254066087179904e-235,0.8977276062431075,7634.930175814345,51091.92679355783,73771,1366,Success
43,az_003,0.11711568994369083,1.156811115647977e-227,0.8826611097547331,77084.62805167343,662179.8696925329,73771,1366,Success
31,ay_001,0.1160158361360306,2.0342763069863934e-223,0.8742582499055832,2471.6406718087055,489971.78330893116,73771,1366,Success
95,cn_009,0.1120070306767438,3.043558962229219e-208,0.8426515694146547,4207.566454237288,213297.39371804235,73750,1369,Success
121,dq_000,0.10925096069744519,2.3692011316643983e-191,1.0217139307575018,3232047.304196146,99166016.36513545,71661,849,Success
46,az_006,0.08694807655892266,5.150124303137066e-126,0.6532624990863943,91977.51146114327,676538.6559297218,73771,1366,Success
13,ag_009,0.0862710358353104,4.3470375551102e-124,0.6474527327803701,3257.55619416844,112932.24981738495,73771,1369,Success
27,au_000,0.07615302623916882,3.968842826966894e-97,0.580965488678944,35.43923665155309,15071.112622826908,73885,1323,Success
77,cb_000,0.07086264142952092,3.5441719019513636e-84,0.5411206049664556,403331.94929157343,602859.4533029613,73755,1317,Success
96,cp_000,0.06899907382783008,3.090454373392999e-77,0.642961630131303,497.64227506139764,5185.0200235571265,71664,849,Success
105,cs_007,0.06328796825885111,1.5020343949855917e-67,0.47415373802517985,14094.436826481233,48654.49525200877,73773,1369,Success
76,ca_000,0.05526170125720869,8.98443048615259e-49,0.5792598348274404,39127.61088423677,60417.59013867488,69789,649,Success
112,dh_000,0.044431177001260064,2.537406602909492e-32,0.4655651652372957,2152.92305502171,235572.94027565085,70245,653,Success
39,ay_009,0.04373362275556282,3.846955236401639e-33,0.3276506699413982,621.2519282644942,30157.405563689605,73771,1366,Success
48,az_008,0.04188178398252431,1.5672143361130531e-30,0.3137518442361203,552.6876414851364,5034.199121522694,73771,1366,Success
1,ac_000,-0.039261163387691325,7.014384265256821e-26,-0.3904405454068372,359614233.58955,49352470.11989101,71005,734,Success
110,df_000,0.0370207786979785,6.167367329071197e-23,0.38779921133779216,4118.785963413766,316904.3644716692,70245,653,Success
129,dz_000,0.03171133248503196,1.3258053815982207e-17,0.2949472834752825,0.17040158513102446,3.2367491166077738,71666,849,Success
16,aj_000,0.029097184193928136,1.4492764095005284e-15,0.2214293025442785,970.0958787304595,12174.77097505669,73885,1323,Success
25,as_000,0.028475096064445156,5.6967839548789914e-15,0.21669133397685542,139.44391960479123,6272.603174603175,73885,1323,Success
4,ag_000,0.018197810080466108,6.080115914270679e-07,0.13608551532185365,154.72763009854822,2663.218407596786,73771,1369,Success
3,af_000,0.0161271914136351,1.3498667322265372e-05,0.14510409793346854,10.470354246929721,39.71899012074643,71899,911,Success
115,dk_000,0.015351961913233979,4.352672737683995e-05,0.16072434402390612,1566.4746462432024,11648.836140888208,70246,653,Success
144,ef_000,0.015203769825857262,4.234428351343956e-05,0.14135460514121587,0.07828089025326171,0.6690223792697291,71665,849,Success
17,ak_000,0.014736233959538676,9.223381454455633e-05,0.15432647433326863,856.5205149525475,13070.524691358025,69754,648,Success
145,eg_000,0.013074685627681097,0.0004300510409244487,0.12155695535056131,0.20447632070996008,1.4487632508833923,71666,849,Success
130,ea_000,0.01040644593537747,0.005073357356434282,0.09674697255322123,1.4771300198141377,6.461719670200235,71666,849,Success
2,ae_000,0.005740259849281671,0.12140592411558278,0.051642012723239754,6.637811374288933,14.562019758507136,71899,911,Success
117,dm_000,0.004273855516348283,0.2551359875527197,0.04473879962257891,7725.8949376459195,20275.95099540582,70244,653,Success
116,dl_000,-0.0024303349005663512,0.5175626932711246,-0.025440811814734527,29134.4030180084,648.5604900459418,70245,653,Success
49,az_009,0.002069208767427537,0.570588730227794,0.015487635732849333,36.776999091784035,82.46852122986823,73771,1366,Success
114,dj_000,-0.00075041666613143,0.8416300042153141,-0.007855415961424543,32.15286279645816,0.5053598774885145,70246,653,Success
107,cs_009,-0.000691658566125713,0.8496268194902254,-0.005171522136567443,1043.5679720222845,17.35427319211103,73773,1369,Success
106,cs_008,-0.0005534548304177919,0.8794150751442608,-0.004138174239444653,248.63765876404648,189.7019722425128,73773,1369,Success
79,cd_000,,,,1209600.0,1209600.0,73819,1320,Success
